OBJECTID,Z4ID,ZONENAME,AREA,PERIMETER,Zone,GlobalID,Shape__Area,Shape__Length
1,311,BAHIR DAR,6.727,10.78,Bahir Dar,71c2310b-0f49-4787-8cd1-22768454cdcc,7053531.166,11043.41092
2,1402,AA ZONE2,91.411,47.484, ,34f1265f-b06f-4f74-b0a9-769137d223ab,94369842.51,48260.6586
3,1401,AA ZONE1,7.743,11.377, ,e171ecf7-af1d-489b-b4f8-f18713795326,7994888.549,11552.84807
4,1404,AA ZONE4,52.055,42.55, ,f717b3b2-1f7b-4520-b498-9bb59305b7e4,53760346.91,43238.97241
5,1405,AA ZONE5,40.924,39.287, ,0029be45-ba17-4238-b00e-005c84008dd0,42264986.37,39904.40567
6,105,MEKELE,24.286,24.133,Mekele,471517ce-34ee-4edd-8f88-d8f518ebdad6,25860341.64,24901.03325
7,1301,HARAR/HUNDENE,371.602,84.309,Harar,b8197c7d-d328-4f23-ad74-382775f3d26f,383141411.6,85619.81598
8,712,YEM SW,753.27,131.004,Yem,946278be-fab6-40da-bd38-fe7bc8f21952,772541103.6,132860.4202
9,717,ALABA SW,1069.922,155.106,Alaba,43851f75-114f-4078-b5b2-d9b8fa68c3e4,1095978812,156986.594
10,720,BASKETO SW,406.613,97.749,Basketo,d32f10ed-ba65-4b38-921b-aa844edd0adf,413809709.2,98573.97277
11,713,AMARO SW,1557.228,181.185,Amaro,32f03321-85af-442b-ada6-814923543cc5,1584270635,182698.0943
12,716,DIRASHE SW,1525.277,189.94,Dirashe,56299c2b-f961-4981-8ae7-ff32d3aee929,1549992326,191435.9948
13,714,BURJI SW,1352.835,176.141,Burji,ec111677-05af-4bad-b52c-abe3af684fcd,1374862524,177622.1853
14,715,KONSO SW,2322.617,220.905,Konso,6b106a3d-9be7-450d-aa3b-4d27d0a5281f,2358599409,222487.9382
15,707,SOUTH OMO,23141.404,715.088,South Omo,f8eb159f-6110-47f8-85e6-30be1fdb8372,23471914459,720829.9844
16,710,SHEKA,4650.795,426.873,Sheka,a3141bd2-9fae-483b-8853-92e33ec3cf20,4751783787,431471.2516
17,719,DAWRO,6665.789,419.037,Dawro,40bd83dc-3583-418e-9497-0e090b8b257f,6805000415,423263.17
18,709,KEFFA,8099.361,608.122,Keffa,2c5ea182-2b23-4cc7-8522-818ca31f59db,8265533815,614390.4937
19,703,KT,1422.335,223.038,KT,d04b17f9-ee13-4ccf-93a4-2a502b2a81ab,1455567650,225415.4556
20,706,WELAYITA,4524.062,313.711,Welayita,5965862c-d43a-4a32-a214-db1d061a9eac,4621043887,316978.1359
21,708,GAMO GOFA,12163.869,568.826,Gamo Gofa,df3ca87d-d0b2-4542-926f-4e60ab8c49d7,12388705188,573994.3188
22,705,GEDEO,1355.992,203.797,Gedeo,c7f8ad43-b124-4fe7-81a4-0ace3f86b410,1381660294,205787.9251
23,701,GURAGE,6205.851,500.139,Gurage,2bc53602-6884-42f7-88a3-158b95a47da9,6377358015,507062.2303
24,409,W. HARERGE,17458.483,700.156,W. Harerge,f9bc334a-0848-4cc6-aebe-2613eddc9f0f,17978339487,710572.5664
25,408,ARSI,23709.981,841.373,Arsi,47709552-8743-4177-8b2d-357f8fc94045,24334832443,852162.969
26,603,ASOSA,11093.799,619.379,Asosa,610df8df-e748-4f9d-86bb-41ac6db7fa8f,11480404637,630611.5572
27,412,BORENA,52813.362,1349.297,Borena,db5041c7-4e3f-4766-96ac-6cb3c08bfe04,53555893834,1359345.499
28,1406,AA ZONE6,120.673,52.64, ,225ba9bc-f2e5-4883-b689-436a1d233f63,124520106.3,53479.01906
29,1403,AA ZONE3,245.542,118.452, ,f6c27ceb-43b2-4b80-ad0a-d33aa6b13f1e,253505060.1,120365.7125
30,306,E. GOJAM,14183.619,674.427,E. Gojam,176fc309-96c9-46db-a584-de6fd049dfce,14771129497,688121.5295
31,103,E. TIGRAY,5794.315,560.033,E. Tigray,a3b0fb2b-c90b-42fb-8017-d6d83571fe70,6200869936,579587.9927
32,305,N. SHEWA (R3),16079.532,984.652,N. Shewa,82738ca2-6a03-4f48-ab89-b1369794d75e,16679197846,1003226.313
33,104,S. TIGRAY,9431.314,593.511,S. Tigray,fb0b52e0-1d1d-45b5-9a92-e64de68c042e,9998929100,611405.4542
34,704,SIDAMA,6778.407,452.399,Sidama,408c2c73-2ae0-41b6-adf9-907c39bf8594,6921229345,457057.3635
35,718,SELTI,1706.877,174.197,Selti,18ecae7a-6800-41fa-9190-ef4bcdf0c3dd,1751374439,176445.5365
36,1501,DIRE DAWA,1056.952,186.641,Dire Dawa,5ab4479f-8950-4686-8724-d703c9b277f8,1092060718,189559.4429
37,411,BALE,60812.602,1251.246,Bale,ad877346-fe9e-4c67-ab3b-602238c08f05,62078074242,1263740.231
38,413,GUJI,17784.361,677.834,Guji,7424a728-0dbd-451a-a565-927dbe0116a6,18087205478,683826.3406
39,307,W. GOJAM,13388.841,987.29,W. Gojam,db1ba7fb-babd-4fca-939e-396161e302c6,13988030407,1009025.571
40,504,DEGEHABUR,39834.084,1024.537,Degehabur,a1d26c0f-0e8d-4878-9d7c-9a83fcef2b57,40634378509,1034147.831
41,711,BENCH MAJI,23214.474,855.415,Bench Maji,7f3bfde7-bd89-4fb9-a890-46bff6d334e2,23587466472,862466.7714
42,1204,GODERE,1841.661,207.597,Godere,55152f93-88c0-4ac8-936c-7c186aea143e,1877549313,209622.3703
43,502,JIJIGA,13371.506,586.552,Jijiga,49146329-7e28-46ba-99b3-0ca287db8e9d,13764022829,595117.5803
44,414,S.W. SHEWA,6537.144,464.788,S.W. Shewa,638e27f3-c902-42c9-b8a0-61c3059eb438,6734112553,471662.4113
45,407,E. SHEWA,13891.428,1054.157,E. Shewa,0749bb25-b126-46ed-ab75-2c67e45005fc,14285097571,1069474.848
46,205,ZONE5,5355.214,492.495,Zone5,c8fcf1f1-d2f4-490a-b14a-68aeb70033cb,5577486628,503019.9485
47,201,ZONE1,33081.883,847.003,Zone1,eae9cd8c-5696-472f-9d6c-07273e5d41b4,34744844658,867973.2228
48,310,OROMIYA,4072.156,488.072,Oromiya,277782e6-51f8-4ad1-b8fb-507b04109e94,4248298122,498893.3088
49,302,S. GONDER,14605.488,656.861,S. Gonder,7ebe56b1-e4ea-42c8-9701-1807312c60f1,15342451270,673387.7101
50,308,W. HAMRA,8477.759,536.301,W. Hamra,7b203737-7b51-477e-9f65-3a129e4696eb,8973594235,551733.9845
51,102,C. TIGRAY,10326.054,634.648,C. Tigray,ac4bde60-5f0c-45f1-8199-79c6613fcc74,11037088000,656077.4635
52,301,N. GONDER,45483.218,1625.631,N. Gonder,5489a620-ed0b-4398-8bfe-10fe5582a0b4,48052046219,1670955.895
53,203,ZONE3,16440.555,759.29,Zone3,c82b04e9-98c4-410b-84db-fb2af5f47824,17068737864,774174.2165
54,410,E. HARERGE,23544.882,957.512,E. Harerge,52a3b0c3-ef7b-4462-97d0-0e1fe263af2a,24217615599,971683.9366
55,501,SHINILE,30675.595,892.107,Shinile,6f855fe8-c190-48df-be8d-129c68ecff49,31827439939,908116.4775
56,509,LIBEN,36181.306,983.574,Liben,f1ac6e38-6136-413a-8403-e0c6adcc6c0f,36655515177,989619.5729
57,505,WARDER,53171.961,1071.123,Warder,cd218527-728d-454d-8bf8-94d501583bf2,53630815050,1074738.972
58,506,KORAHE,32467.85,945.582,Korahe,7d79044c-e629-4cd1-b42c-4137d588dc27,32856648637,949869.9394
59,404,JIMMA,18483.372,748.744,Jimma,7dbf0a06-7661-4c4f-990e-c4af77e552ae,18950976376,758229.3594
60,202,ZONE2,29715.31,881.859,Zone2,48fdffb6-4ab4-4dd1-ba76-a32d1bd08905,31610285222,909310.9434
61,503,FIK,14215.752,531.259,Fik,7ceabbb6-cfd7-4dcd-959e-6cc38e07e699,14534408445,537435.9999
62,508,AFDER,62240.046,1325.653,Afder,dbd8eb7b-6e6e-474a-8039-552600f1bb5a,63019369118,1332507.603
63,507,GODE,33371.274,1169.743,Gode,abf6a3fe-fd2e-4028-861f-9331060f8f0d,33790098573,1175635.895
64,1201,ZONE 1,4314.954,377.958,Zone 1,c89805e6-a414-4ed1-ac20-8c5ed7f40630,4409565547,381900.712
65,605,TONGO SW,1925.18,236.17,Tongo Sw,ba9d845f-f7c9-430b-9c34-281a47bf75df,1979476292,239631.4468
66,602,METEKEL,26507.558,955.173,Metekel,653feaa8-a958-40cc-9b69-6c9d5ad3e036,27624186118,975672.9816
67,309,AGEW AWI,6344.673,528.63,Agew Awi,434fcb11-7caa-4e9e-83da-70393d801135,6617828491,539862.014
68,401,W. WELLEGA,24310.952,977.899,W. Wellega,fabe6b1c-7f18-4617-9371-e2a1ddc9d443,24996986571,991761.8336
69,403,ILLUBABOR,16410.483,854.637,Illubabor,f1398027-f8c7-49ab-bfa1-453384365007,16826125656,865256.4861
70,406,N. SHEWA (R4),11263.395,806.341,N. Shewa,25ccf99a-5c28-40f2-a59d-91919a521c90,11672831758,820851.3715
71,405,WEST SHEWA,15271.891,696.005,West Shewa,9d956a25-8439-4c6e-aa42-88ce19636acf,15775991825,707386.0207
72,303,N. WELLO,12700.045,626.662,N. Wello,693d954e-962a-49f1-b892-8b053335bf4f,13355957853,642566.6123
73,304,S. WELLO,17210.284,816.603,S. Wello,3c5cf92a-a03a-4f2e-aafb-8a5a48bdd864,17980958271,834588.0748
74,204,ZONE4,11020.844,443.325,Zone4,144f45b2-a3ee-4a3f-9c5c-4fe2013d3361,11623862808,455512.2165
75,402,E. WELLEGA,22223.382,913.131,E. Wellega,44bc6ee6-186e-4eca-a54d-3b07ee3d4fdd,22978223564,928545.6807
76,1203,ZONE 3,6839.963,469.523,Zone 3,384fd0de-4914-4591-8937-99b902c8e5f6,6968180765,473954.4018
77,1202,ZONE 2,12641.603,537.366,Zone 2,1f6bf911-479e-47ae-84a0-273063229d74,12876106995,541996.9378
78,604,KAMASHI,10424.963,1288.043,Kamashi,3c7b2752-bb46-4c98-9984-545a2fdae6d9,10782281057,1310159.965
79,702,HADIYA,4025.602,441.002,Hadiya,ecac244a-64c2-460c-a3e0-6cf5cada9993,4124083498,446239.7974
80,101,W. TIGRAY,24645.543,959.355,W. Tigray,cb720c30-3f51-48d2-ad09-6e88c9517e29,13156545229,549238.1042
81,106,NW. TIGRAY,24645.543,959.355,N.W.Tigray,b8f94543-bad2-4c07-88f9-eadf665c37c5,13178698430,717263.7247
