OBJECTID,REGIONNAME,ZONENAME,WOREDANO_,WOREDANAME,GlobalID,Shape__Area,Shape__Length
138,Amhara,Awi/Agew,30903,Ankasha,b7431940-3c7e-4924-8913-b78cc8043860,1103789526,195309.088
143,Amhara,Awi/Agew,30907,Guagusa Shikudad,bc03a9ad-eac0-4f76-b4bb-abc95bde3b0c,316812138,120770.9967
150,Amhara,Awi/Agew,30904,Guangua,c333faf2-c28a-4143-b21c-98340ccd7a50,2430916141,279760.1541
160,Amhara,East Gojam,30612,Awabel,5dbc23c4-26e8-4a67-8e4e-9a5ae0931fe4,854392916.9,193676.3423
161,Amhara,East Gojam,30601,Bibugn,172f0407-d688-4f6b-b5ae-421002bfc377,413594119.1,166574.9632
162,Amhara,East Gojam,30607,Debay Telatgen,71f9134e-0764-45f7-a203-09c4849c8eab,654622212.1,142650.4018
190,Amhara,North Shewa(R3),30515,Ankober,6093ff32-c3a9-4703-94d2-f8a1c05a7445,728892869.5,135484.0106
191,Amhara,North Shewa(R3),30508,Eferatana Gidem,0b353c5c-1812-4be7-898d-061ab8b4a386,527314258,154759.9029
212,Amhara,North Wollo,30310,Lasta (Ayna),07a74765-dcda-4304-8555-cc6e6e113e30,1132474126,202082.445
213,Amhara,North Wollo,30304,Meket,4651b98f-a6be-4775-b3a3-6bc7c2db3860,1994559542,263308.3583
221,Amhara,South Gonder,30201,Ebenat,6854bbe1-e212-4dc3-afcb-c56bc4fbb9c6,2645703797,263113.9148
246,Amhara,Wag Himra,30804,Gaz Gibla,d4ebb711-7f5f-450a-a467-f1957e02d953,1003252895,167943.2226
256,Amhara,West Gojam,30705,Sekela,dcd8ec2f-eeba-4500-a6f4-9015a6d5545d,799930531.2,201639.6263
