OBJECTID,REGIONNAME,ZONENAME,WOREDANO_,WOREDANAME,GlobalID,Shape__Area,Shape__Length
1,Addis Ababa,Region 14,140102,Nefas Silk,695a39eb-38a2-4680-82e3-c34d7559ee45,60194723.3818359,42074.1279416154
2,Addis Ababa,Region 14,140104,Bole,d21bf315-15e2-40eb-9a55-92e102600a0f,131767936.981934,57202.0043319994
3,Addis Ababa,Region 14,140105,Lideta,7f82355a-ed21-48bd-9d49-2e3cb58b824b,11349508.3491211,20053.0750017827
4,Addis Ababa,Region 14,140106,Kirkos,deb15e6d-331b-433e-bdb8-cd5dfca4bb79,15122328.59375,19354.492903382
5,Addis Ababa,Region 14,140107,Yeka,1f7e0179-f18e-43c1-9838-9ad28d2a6e1a,89019214.4672852,47690.0168031617
6,Addis Ababa,Region 14,140108,Addis Ketema,a4daa298-55cf-4270-93c7-4cddd9d3b5ad,7626468.54833984,15661.7344680407
7,Addis Ababa,Region 14,140109,Arada,cd0c65f6-ac59-442c-ae11-6f1e08f5c5ec,9809010.34619141,18461.8884423076
8,Addis Ababa,Region 14,140110,Gulele,abb91d1a-2a1f-45e5-a649-f248c67a921b,32892638.8598633,31072.3102377202
9,Tigray,Central,010204,Adwa,5e61e20a-cc3f-4f68-acda-5ce73ee77566,712649728.754395,154334.832877905
10,Tigray,Central,010202,Ahferom,f70cb5cf-b81c-4c1a-a569-4516b7309261,1393936681.17236,241544.136644687
11,Tigray,Southern,010404,Alaje,9d6695cc-4fab-4fed-9460-dea619c137e2,819661517.982422,162201.278352367
12,Tigray,Southern,010407,Alamata,9bec8afc-fb49-4652-a50c-fdc13d552329,765786757.342285,207907.002156972
13,Tigray,North Western,010105,Asgede Tsimbila,76532c8f-cbe0-45a0-afb1-c0158c0287b9,2564325161.96924,302224.292065817
14,Tigray,"Eastern
",010307,Atsbi Wenberta,2556504b-3ab9-4442-a19c-ddbe43200e51,1216352969.20703,189271.729308253
15,Tigray,Central,010209,Degua Temben,2bd02927-188e-45ad-9b6f-6a0d769851d8,1101693895.87744,200207.454125657
16,Tigray,Southern,010402,Enderta,79111570-1e83-4bee-a57c-aedbbd0f0d48,1565244564.33691,270310.819612725
17,Tigray,"Eastern
",010302,Erob,1d210d01-2777-4bdf-b72f-24067e096b44,998669054.36377,189522.019531631
18,Tigray,"Eastern
",010304,Ganta Afeshum,8af467f3-1dd6-4f3a-844a-6526a587979a,588953566.251465,179223.474236527
19,Tigray,"Eastern
",010301,Gulomekeda,35b3f237-eb2c-42d5-a92a-4a10dfd855b5,634536341.649414,179798.42562789
20,Tigray,"Eastern
",010305,Hawzen,6ddd948e-36d0-4a67-9ecc-dff364fa7dd0,909231686.410645,198419.341373812
21,Tigray,Southern,010403,Hintalo Wejirat,68231e7c-ac34-4f21-a8b0-d83ed3609266,2052241158.79443,291872.1401261
22,Tigray,Western,010501,Kafta Humera,49744313-dc55-4fd0-b63d-ec24abcd92c7,6583450820.65283,461541.900773079
23,Tigray,"Eastern
",010306,Kelete Awelallo,4e24b51c-ebe8-4e11-ae34-dd11d92e9b48,1081407509.5459,207833.563938516
24,Tigray,Central,010208,Kola Temben,61c078cf-ec01-4eae-8542-242ee34ca875,1469376615.43164,249445.536400884
25,Tigray,North Western,010102,Laelay Adiyabo,ce3eaed8-dd06-4cf9-9070-caa26dc23859,1900137315.83301,301891.191401095
26,Tigray,Central,010205,Laelay Maychew,f9c52730-86af-4c0d-a466-066db68d029a,595574311.545898,171511.511538887
27,Tigray,North Western,010103,Medebay Zana,a0221d0a-9ebc-42d7-be4f-2f400f91dd87,1128943214.12012,279174.63431821
28,Tigray,Central,010201,Mereb Leke,e5fde189-1d69-41d2-a6e2-d7a4825dd969,1339364597.02051,266354.375405911
29,Tigray,Central,010207,Naeder Adet,b8feeca3-84f2-4851-9a49-1570905c0d72,1001132784.74365,193289.092608051
30,Tigray,Southern,010408,Ofla,4de029ca-2919-4b45-937e-b6c00c7a2e65,1163828754.02979,175844.379490213
31,Tigray,"Eastern
",010303,Saesie Tsaedaemba,fd2dd65c-6ff5-4cc9-84bc-fa11d5da8196,1241186410.0791,292816.441759754
32,Tigray,Southern,010401,Saharti Samre,e8f1bcd9-e5fc-4dca-9c77-cfdfb6a47572,1824655467.2627,269752.646483612
33,Tigray,North Western,010101,Tahtay Adiyabo,70c69cb0-c428-43fc-af45-0768c61d695c,4189187161.93848,369277.887645236
34,Tigray,North Western,010104,Tahtay Koraro,d9ffbf29-e18b-4ed0-84d1-da9687065700,716471062.388672,191546.690111281
35,Tigray,Central,010206,Tahtay Maychew,9afa9ef2-3159-4eb1-85c7-19522020e790,609710752.688965,211319.372853204
36,Tigray,Central,010210,Tanqua Abergele,b698b975-3f83-46ac-9907-23ea3bb0ed3d,1541367128.44287,255251.121127683
37,Tigray,Western,010503,Tsegede,1cb84ffb-b488-461d-a96c-7daa29b1b0f6,3438772612.32666,439522.323300402
38,Tigray,North Western,010106,Tselemti,15db1223-bd7a-49f0-a016-66772e918b57,2938804243.81201,415389.236820558
39,Tigray,Western,010502,Welkait,2a2d6aa9-73a8-4eef-98ee-73321308ab6e,4063850440.79883,401140.20419096
40,Tigray,Central,010203,Werei Leke,4a4cf0a7-9307-4056-9243-a28aa4dcdda4,1345389414.50635,246033.942413572
41,Tigray,Southern,010405,Endamehoni,05066f80-8abb-4974-b4df-cb160632a241,671970282.214355,137708.650835995
42,Tigray,Southern,010406,Raya Azebo,67c3e2d4-7f4e-43d5-825a-44cff9bcafe9,1885450549.60498,285669.201604073
