OBJECTID,REGIONNAME,ZONENAME,WOREDANO_,WOREDANAME,GlobalID,Shape__Area,Shape__Length
287,Oromia,North Shewa(R4),40602,Dera,fa11d464-07ae-4204-af8e-cf457dfd9829,1606763662,185236.5548
288,Oromia,East Wellega,40202,Ibantu,4deba5e8-fac7-4877-8fa8-a4da40970698,885364567.9,122533.4967
289,Oromia,East Wellega,40203,Gida Kiremu,4fe0d690-7af7-4021-9a12-29b7bb0a7760,2711377617,273852.7566
290,Oromia,North Shewa(R4),40601,Wara Jarso,25788ff1-1c76-410d-9313-3ef53a708133,1277609002,176009.8293
291,Oromia,North Shewa(R4),40603,Hidabu Abote,ba65278c-d324-406f-9ae6-81a36ef45f07,482291743.9,101683.6349
292,Oromia,East Wellega,40201,Limu,b25ffdff-0f12-46e6-8cdb-b4aca1f11034,1282383027,198880.4684
293,Oromia,Horo Guduru,41903,Guduru,4ca520df-80ef-4949-bc7e-e87fa28cd7af,1493186814,167834.9126
294,Oromia,North Shewa(R4),40605,Degem,86c42555-7df1-47d0-a09f-79ee02117b77,674832797.8,128458.7002
295,Oromia,Horo Guduru,41905,Abay Chomen,833df616-3d16-4b05-843f-2fecc3f68519,789799958.7,137028.0259
296,Oromia,North Shewa(R4),40606,Gerar Jarso,603e85e6-bd23-4fe0-83c9-c7d167f9a455,461010988.1,111123.9577
297,Oromia,West Shewa,40501,Ginde Beret,70316c1e-a05d-430f-93ef-126e3acd5fec,1318643134,156480.6269
298,Oromia,North Shewa(R4),40604,Kuyu,4a0d6ad1-2fa7-4391-9648-ef3be9591171,1136857643,153353.0278
299,Oromia,Horo Guduru,41901,Horo,934cd488-4e7b-46a2-b2ce-bb6dcc609324,739451871,143176.3544
300,Oromia,Horo Guduru,41910,Abe Dongoro,5294f057-6c39-4127-bdcb-3f7c6a36afec,1108731091,149417.7545
301,Oromia,North Shewa(R4),40608,Wuchale,d9bad863-f210-45ac-8c55-26367d54515d,692364421.2,130614.268
302,Oromia,North Shewa(R4),40614,Yaya Gulele,3edd70b8-7106-475c-b387-db36d6094aa9,425856336.1,82922.81257
303,Oromia,East Harerge,41002,Jarso,76234ece-d600-46b2-a323-2049f8fb176f,563240281.3,112061.6447
304,Oromia,West Shewa,40514,Meta Robi,e2f83bfd-4118-468e-a5c7-e0ea974c2f09,1033207039,154323.0163
305,Oromia,West Wellega,40116,Begi,1e84cc7e-01aa-4f57-8cba-07cb4ee56675,1066011994,190080.9642
306,Oromia,East Harerge,41001,Kombolcha,199e3681-854a-4771-bb5b-e0a0cc370c71,458625242.8,100123.33
307,Oromia,West Shewa,40513,Adda Berga,a137bf39-f964-4667-90ee-8f24f5fd5227,1042525174,129016.4758
308,Oromia,West Wellega,40111,Babo,b90f2bb2-1c70-4571-8464-bc8a7d9b4a37,886286419,123771.3571
309,Oromia,East Wellega,40207,Bila Seyo,d27b7db6-bf96-4ad6-8068-cea5929fa2ec,800145866.3,167516.102
310,Oromia,East Harerge,41009,Meta,5d015b15-8ca0-4ce0-91be-83efa14a7d22,676813950,115775.4289
311,Oromia,East Harerge,41006,Haro Maya,488427f8-aa00-4ef8-8f12-15b5382623c9,637305936,113177.3965
