OBJECTID,REGIONNAME,ZONENAME,WOREDANO_,WOREDANAME,GlobalID,Shape__Area,Shape__Length
9,Tigray,Central,10204,Adwa,5e61e20a-cc3f-4f68-acda-5ce73ee77566,712649728.8,154334.8329
10,Tigray,Central,10202,Ahferom,f70cb5cf-b81c-4c1a-a569-4516b7309261,1393936681,241544.1366
11,Tigray,Southern,10404,Alaje,9d6695cc-4fab-4fed-9460-dea619c137e2,819661518,162201.2784
12,Tigray,Southern,10407,Alamata,9bec8afc-fb49-4652-a50c-fdc13d552329,765786757.3,207907.0022
13,Tigray,North Western,10105,Asgede Tsimbila,76532c8f-cbe0-45a0-afb1-c0158c0287b9,2564325162,302224.2921
14,Tigray,"Eastern
",10307,Atsbi Wenberta,2556504b-3ab9-4442-a19c-ddbe43200e51,1216352969,189271.7293
15,Tigray,Central,10209,Degua Temben,2bd02927-188e-45ad-9b6f-6a0d769851d8,1101693896,200207.4541
16,Tigray,Southern,10402,Enderta,79111570-1e83-4bee-a57c-aedbbd0f0d48,1565244564,270310.8196
17,Tigray,"Eastern
",10302,Erob,1d210d01-2777-4bdf-b72f-24067e096b44,998669054.4,189522.0195
18,Tigray,"Eastern
",10304,Ganta Afeshum,8af467f3-1dd6-4f3a-844a-6526a587979a,588953566.3,179223.4742
19,Tigray,"Eastern
",10301,Gulomekeda,35b3f237-eb2c-42d5-a92a-4a10dfd855b5,634536341.6,179798.4256
20,Tigray,"Eastern
",10305,Hawzen,6ddd948e-36d0-4a67-9ecc-dff364fa7dd0,909231686.4,198419.3414
21,Tigray,Southern,10403,Hintalo Wejirat,68231e7c-ac34-4f21-a8b0-d83ed3609266,2052241159,291872.1401
22,Tigray,Western,10501,Kafta Humera,49744313-dc55-4fd0-b63d-ec24abcd92c7,6583450821,461541.9008
23,Tigray,"Eastern
",10306,Kelete Awelallo,4e24b51c-ebe8-4e11-ae34-dd11d92e9b48,1081407510,207833.5639
24,Tigray,Central,10208,Kola Temben,61c078cf-ec01-4eae-8542-242ee34ca875,1469376615,249445.5364
25,Tigray,North Western,10102,Laelay Adiyabo,ce3eaed8-dd06-4cf9-9070-caa26dc23859,1900137316,301891.1914
26,Tigray,Central,10205,Laelay Maychew,f9c52730-86af-4c0d-a466-066db68d029a,595574311.5,171511.5115
27,Tigray,North Western,10103,Medebay Zana,a0221d0a-9ebc-42d7-be4f-2f400f91dd87,1128943214,279174.6343
28,Tigray,Central,10201,Mereb Leke,e5fde189-1d69-41d2-a6e2-d7a4825dd969,1339364597,266354.3754
29,Tigray,Central,10207,Naeder Adet,b8feeca3-84f2-4851-9a49-1570905c0d72,1001132785,193289.0926
30,Tigray,Southern,10408,Ofla,4de029ca-2919-4b45-937e-b6c00c7a2e65,1163828754,175844.3795
31,Tigray,"Eastern
",10303,Saesie Tsaedaemba,fd2dd65c-6ff5-4cc9-84bc-fa11d5da8196,1241186410,292816.4418
32,Tigray,Southern,10401,Saharti Samre,e8f1bcd9-e5fc-4dca-9c77-cfdfb6a47572,1824655467,269752.6465
33,Tigray,North Western,10101,Tahtay Adiyabo,70c69cb0-c428-43fc-af45-0768c61d695c,4189187162,369277.8876
34,Tigray,North Western,10104,Tahtay Koraro,d9ffbf29-e18b-4ed0-84d1-da9687065700,716471062.4,191546.6901
35,Tigray,Central,10206,Tahtay Maychew,9afa9ef2-3159-4eb1-85c7-19522020e790,609710752.7,211319.3729
36,Tigray,Central,10210,Tanqua Abergele,b698b975-3f83-46ac-9907-23ea3bb0ed3d,1541367128,255251.1211
37,Tigray,Western,10503,Tsegede,1cb84ffb-b488-461d-a96c-7daa29b1b0f6,3438772612,439522.3233
38,Tigray,North Western,10106,Tselemti,15db1223-bd7a-49f0-a016-66772e918b57,2938804244,415389.2368
39,Tigray,Western,10502,Welkait,2a2d6aa9-73a8-4eef-98ee-73321308ab6e,4063850441,401140.2042
40,Tigray,Central,10203,Werei Leke,4a4cf0a7-9307-4056-9243-a28aa4dcdda4,1345389415,246033.9424
41,Tigray,Southern,10405,Endamehoni,05066f80-8abb-4974-b4df-cb160632a241,671970282.2,137708.6508
42,Tigray,Southern,10406,Raya Azebo,67c3e2d4-7f4e-43d5-825a-44cff9bcafe9,1885450550,285669.2016
