Region,Zone,District,Town,Population,Biowaste,Latitude,Longitude,,,
Addis Ababa,Addis Ababa,ADDIS ABABA CITY ADMINISTRATIO,"Addis Ababa ( 512,348 )","3,860,000",512348,8.9806,38.7578,,,
Amhara,North Gondar  ,GONDER,"Gonder ( 61,850 )","465,973",61850,12.603,37.4521,,,
Tigray,Western  ,MEKELE,"Mekele ( 60,781 )","457,917",60781,13.4936,39.4657,,,
Oromia,Adama Special,ADAMAWEREDA,"Adama ( 60,641 )","456,868",60641,8.5263,39.2583,,,
SNNP,Hawassa City Administration,HAWASSA CITY ADMINISTRATION,"Hawassa  ( 56,040 )","422,202",56040,7.0504,38.4955,,,
Amhara,Bahir Dar Special,BAHIR DAR,"Bahir Dar ( 46,456 )","349,995",46456,11.5742,37.3614,,,
Dire Dawa,Dire Dawa,DIRE DAWA CITY ADMINISTRATION,"Dire Dawa ( 45,527 )","343,000",45527,9.6009,41.8501,,,
Amhara,South Wollo,DESSIE,"Dessie ( 35,886 )","270,366",35886,11.127,39.6363,,,
Oromia,Jimma Special ,JIMMA,"Jimma ( 33,304 )","250,909",33304,7.6739,36.8358,,,
Oromia,West Arsi,SHASHEMENE,"Shashemene ( 27,657 )","208,368",27657,7.201,38.6065,,,
Oromia,East Shewa,BISHOFTU,"Bishoftu ( 27,527 )","207,383",27527,8.7346,39.0085,,,
SNNP,Wolayta,SODO,"Sodo ( 27,094 )","204,121",27094,6.8528,37.761,,,
SNNP,Gamo Gofa,ARBA MINCH,"Arba Minch ( 26,686 )","201,049",26686,6.0206,37.5641,,,
Somali,Jigjiga,JIJIGA,"Jijiga ( 26,277 )","197,966",26277,9.3568,42.7955,,,
SNNP,Hadiya,HOSAENA,"Hosaena ( 24,979 )","188,192",24979,7.5532,37.8618,,,
SNNP,Gedeo,DILA,"Dilla ( 21,077 )","158,795",21077,6.4126,38.3008,,,
Harari,Harari,HARAR ,"Harar ( 20,839 )","157,000",20839,9.3126,42.1227,,,
Oromia,East Wollega,NEKEMTE,"Nekemte ( 20,707 )","156,004",20707,9.0893,36.5554,,,
Amhara,North Shewa,DEBRE BREHAN,"Debre Brehan ( 19,501 )","146,918",19501,9.6767,39.533,,,
Amhara,East Gojam ,DEBERE MARKOS,"Debere Markos ( 18,675 )","140,699",18675,10.3296,37.7344,,,
Oromia,East Wollega,NEKEMTE,"Nekemte ( 20,707 )","156,004",20707,9.0931,36.5462,,,
Amhara,North Shewa,DEBRE BREHAN,"Debre Berhan ( 19,501 )","146,918",19501,9.6767,39.533,,,
Amhara,East Gojam ,DEBERE MARKOS,"Debre Markos ( 18,675 )","140,699",18675,10.3372,37.7341,,,
Oromia,Arsi,ASELA,"Asella ( 18,521 )","139,537",18521,7.9589,39.1364,,,
Amhara,South Wollo,KOMBOLCHA,"Kombolcha ( 17,537 )","132,123",17537,11.0862,39.7324,,,
Amhara,South Gondar ,DEBRETABOR,"Debre Tabor ( 16,633 )","125,312",16633,11.85,38.0167,,,
Tigray,Eastern  ,ADIGRAT,"Adigrat ( 16,164 )","121,776",16164,14.2809,39.4624,,,
Amhara,North Wollo,WOLDIYA,"Weldiya ( 13,805 )","104,005",13805,11.8306,39.6,,,
Oromia,South West Shewa,SEBETAWERWDA,"Sebeta ( 13,585 )","102,347",13585,8.9112,38.6268,,,
Oromia,Burayu Special,BURAYU,"Burayu ( 13,460 )","101,408",13460,9.0341,38.6619,,,
Tigray,North West  ,SHIRE ENIDASILASE,"Shire ( 13,284 )","100,079",13284,14.1,38.2833,,,
Oromia,West Shewa,AMBO,"Ambo ( 13,261 )","99,905",13261,8.9833,37.85,,,
Oromia,West Arsi,ARSI NEGELE,"Negele Arsi ( 13,023 )","98,114",13023,7.35,38.7,,,
Gambela,Agnuwak,GAMBELA,"Gambela ( 12,960 )","97,643",12960,8.25,34.5833,,,
Tigray,Central  ,AXUM,"Axum ( 12,545 )","94,515",12545,14.1248,38.7211,,,
Oromia,Bale,ROBE,"Robe ( 12,218 )","92,053",12218,7.1167,40,,,
Oromia,East Shewa,ZEWAYBATU,"Ziway ( 12,015 )","90,522",12015,7.9308,38.7164,,,
SNNP,Gurage,BUTAJIRA,"Butajira ( 11,923 )","89,824",11923,8.1167,38.3667,,,
Tigray,Central  ,ADWA,"Adwa ( 11,368 )","85,644",11368,14.1721,38.8872,,,
SNNP,Wolayta,BOLOSO SORE,"Areka ( 11,213 )","84,478",11213,7.071,37.7076,,,
