Region,Zone,District,Town,Population,Biowaste,Latitude,Longitude
Addis Ababa,Addis Ababa,ADDIS ABABA CITY ADMINISTRATIO,Addis Ababa,"3,860,000",512348,8.9806,38.7578
Amhara,North Gondar  ,GONDER,Gonder,"465,973",61850,12.603,37.4521
Tigray,Western  ,MEKELE,Mekele,"457,917",60781,13.4936,39.4657
Oromia,Adama Special,ADAMAWEREDA,Adama,"456,868",60641,8.5263,39.2583
SNNP,Hawassa City Administration,HAWASSA CITY ADMINISTRATION,Hawassa ,"422,202",56040,7.0504,38.4955
Amhara,Bahir Dar Special,BAHIR DAR,Bahir Dar,"349,995",46456,11.5742,37.3614
Dire Dawa,Dire Dawa,DIRE DAWA CITY ADMINISTRATION,Dire Dawa,"343,000",45527,9.6009,41.8501
Amhara,South Wollo,DESSIE,Dessie,"270,366",35886,11.127,39.6363
Oromia,Jimma Special ,JIMMA,Jimma,"250,909",33304,7.6739,36.8358
Oromia,West Arsi,SHASHEMENE,Shashemene,"208,368",27657,7.201,38.6065
Oromia,East Shewa,BISHOFTU,Bishoftu,"207,383",27527,8.7346,39.0085
SNNP,Wolayta,SODO,Sodo,"204,121",27094,6.8528,37.761
SNNP,Gamo Gofa,ARBA MINCH,Arba Minch,"201,049",26686,6.0206,37.5641
Somali,Jigjiga,JIJIGA,Jijiga,"197,966",26277,9.3568,42.7955
SNNP,Hadiya,HOSAENA,Hosaena,"188,192",24979,7.5532,37.8618
SNNP,Gedeo,DILA,Dilla,"158,795",21077,6.4126,38.3008
Harari,Harari,HARAR ,Harar,"157,000",20839,9.3126,42.1227
Oromia,East Wollega,NEKEMTE,Nekemte,"156,004",20707,9.0893,36.5554
Amhara,North Shewa,DEBRE BREHAN,Debre Brehan,"146,918",19501,9.6767,39.533
Amhara,East Gojam ,DEBERE MARKOS,Debere Markos,"140,699",18675,10.3296,37.7344
