OBJECTID,REGIONNAME,ZONENAME,WOREDANO_,WOREDANAME,GlobalID,Shape__Area,Shape__Length
6,Addis Ababa,Region 14,140108,Addis Ketema,a4daa298-55cf-4270-93c7-4cddd9d3b5ad,7626468.548,15661.73447
541,Addis Ababa,Region 14,140101,Akaki - Kalit,a69821f6-36c4-46aa-b8c8-d88fc0663942,131118708.7,63180.25354
7,Addis Ababa,Region 14,140109,Arada,cd0c65f6-ac59-442c-ae11-6f1e08f5c5ec,9809010.346,18461.88844
2,Addis Ababa,Region 14,140104,Bole,d21bf315-15e2-40eb-9a55-92e102600a0f,131767937,57202.00433
8,Addis Ababa,Region 14,140110,Gulele,abb91d1a-2a1f-45e5-a649-f248c67a921b,32892638.86,31072.31024
4,Addis Ababa,Region 14,140106,Kirkos,deb15e6d-331b-433e-bdb8-cd5dfca4bb79,15122328.59,19354.4929
542,Addis Ababa,Region 14,140103,Kolfe - Keran,6bbb2696-469c-471b-96fb-96599a4e21bc,67594740.13,50275.60286
3,Addis Ababa,Region 14,140105,Lideta,7f82355a-ed21-48bd-9d49-2e3cb58b824b,11349508.35,20053.075
1,Addis Ababa,Region 14,140102,Nefas Silk,695a39eb-38a2-4680-82e3-c34d7559ee45,60194723.38,42074.12794
5,Addis Ababa,Region 14,140107,Yeka,1f7e0179-f18e-43c1-9838-9ad28d2a6e1a,89019214.47,47690.0168
548,Afar,Zone 1,201051,Adaa'r,fa81f00f-f674-445b-8905-e899eee813ce,1442427071,185757.7945
265,Afar,Zone 1,20104,Afambo,7e0c1356-f80f-4ca7-81d0-a98387162e6f,1967940553,187015.3057
264,Afar,Zone 1,20103,Aysaita,31216183-b862-47ef-9788-3db46c4eb23a,1420467582,199532.6035
280,Afar,Zone 1,20106,Chifra,e57a4dda-0c65-4d67-8c86-91ac89daa297,3438740251,255969.8856
262,Afar,Zone 1,20101,Dubti,cdd90bce-f7c1-45b1-806c-6e0c14e0b931,6437362116,494215.263
260,Afar,Zone 1,20102,Elidar,e8c90163-3f24-40b2-ab22-cb90817bf7ec,12282194249,516464.246
547,Afar,Zone 1,201011,Kurri,80407bf5-3384-4283-91e8-99e5523ccb03,5397245884,359050.0532
281,Afar,Zone 1,20105,Mile,5c544313-8d6c-4a00-8915-b0738ce41be2,3541283683,319566.662
275,Afar,Zone 2,20203,Ab Ala,dbf9ab98-8d08-4b66-8b33-a6757ec0d321,1290232373,165280.0125
258,Afar,Zone 2,20207,Afdera,a85a8f0b-6455-4806-8e1d-abe20e0ce5f5,7744426884,414769.8339
274,Afar,Zone 2,20205,Berahle,5a2289ce-480a-44cf-8bee-5071358421ef,7571544946,436300.3246
546,Afar,Zone 2,202071,Bidu,85854b27-1088-4941-9df6-7c5e0c26a510,4784311536,292469.8973
272,Afar,Zone 2,20206,Dalul,bf09726c-2e8e-4ee6-9b6e-8a3666a9cce8,3202057718,282179.9953
259,Afar,Zone 2,20201,Erebti,d4b9a8a8-b753-4d9b-b7fc-4cf113ff7026,2607344472,215671.6829
273,Afar,Zone 2,20202,Koneba,d99a8b43-3aa6-454a-b5dc-57b2c303d3fc,603458800.8,112459.051
276,Afar,Zone 2,20204,Megale,368b6cea-805e-4c4b-a1ea-d1f747835f96,1635813095,167485.6443
268,Afar,Zone 3,20301,Amibara,bbe45d25-097b-4e62-a53e-a0ff903bcc04,4052482103,325482.7541
269,Afar,Zone 3,20306,Argoba Special,8287621e-6ef5-4862-abef-d2bf1b15755e,606397052.1,157819.9017
271,Afar,Zone 3,20302,Awash Fentale,46b34f6e-ccf6-4086-946b-3891cb5b21d0,1092001349,169316.8554
267,Afar,Zone 3,20305,Bure Mudaytu,56a6c086-110d-4a7c-8267-2cb6abd75fe9,1147457976,175361.49
270,Afar,Zone 3,20304,Dulecha,4e5134b8-bda0-4cde-a2a6-db98959c5b19,1304429107,182879.3949
266,Afar,Zone 3,20303,Gewane,c8540210-aa7f-47ad-83d9-e6fbe3f91d52,8999906912,504552.6781
263,Afar,Zone 4,20401,Awra,e276f492-c121-4ba5-a6fe-f0b44603a38b,3174026294,246798.3966
279,Afar,Zone 4,20402,Ewa,c4efcb5d-5275-46a4-b9e6-4c31c4ef4693,1258489038,158125.3411
278,Afar,Zone 4,20405,Gulina,5fa11864-002c-446e-896e-a3344f1e7a76,1211352478,152447.9213
261,Afar,Zone 4,20403,Teru,e2c11790-0229-40f7-a4b6-3a094994af6e,3865193806,252490.0872
277,Afar,Zone 4,20404,Yalo,4905da45-7454-4c66-8d92-e4ec385d6e95,1813830349,209768.113
283,Afar,Zone 5,20504,Artuma,9adb7756-43f0-4bfb-b01e-2a292086bc58,456907764.4,96345.37055
284,Afar,Zone 5,20503,Dewe,dc10e072-9902-4cd5-8b32-1f12423da12d,1088371037,156936.803
286,Afar,Zone 5,20505,Fursi,74785b0f-bc38-42ea-92ff-3529792a791f,1298584804,174914.6252
285,Afar,Zone 5,20502,Simurobi Gele'alo,2bd6492f-ddb7-4040-a939-0f209df0a234,1350772380,212582.9698
282,Afar,Zone 5,20501,Telalak,18337a2e-448b-4030-b73f-0fba89168b9b,1428515392,177999.7249
138,Amhara,Awi/Agew,30903,Ankasha,b7431940-3c7e-4924-8913-b78cc8043860,1103789526,195309.088
145,Amhara,Awi/Agew,30902,Banja,9370f8f2-c5d1-4d5e-b9ff-51c914559614,513736062.8,183596.268
156,Amhara,Awi/Agew,30901,Dangila,41d9eeb4-2b92-488b-b91f-b5033a69cf58,926228013.2,188880.8001
177,Amhara,Awi/Agew,30905,Fagta Lakoma,6e3d2c5e-7761-4511-98b0-bf1402cf43b4,704550341,169477.1546
187,Amhara,Awi/Agew,30907,Guagusa Shikudad,bc03a9ad-eac0-4f76-b4bb-abc95bde3b0c,316812138,120770.9967
188,Amhara,Awi/Agew,30904,Guangua,c333faf2-c28a-4143-b21c-98340ccd7a50,2430916141,279760.1541
197,Amhara,Awi/Agew,30906,Jawi,f24ca862-5646-43dd-95e9-2605f6100f8f,3366306170,504816.0398
136,Amhara,East Gojam,30617,Aneded,df916f1d-7d2f-4b51-86b9-bf17ca57d27c,673662685.3,187996.6346
143,Amhara,East Gojam,30612,Awabel,5dbc23c4-26e8-4a67-8e4e-9a5ae0931fe4,854392916.9,193676.3423
146,Amhara,East Gojam,30611,Baso Liben,a1234705-e102-42b5-a196-e3d1d13d32a4,1154684957,162946.375
150,Amhara,East Gojam,30601,Bibugn,172f0407-d688-4f6b-b5ae-421002bfc377,413594119.1,166574.9632
159,Amhara,East Gojam,30607,Debay Telatgen,71f9134e-0764-45f7-a203-09c4849c8eab,654622212.1,142650.4018
160,Amhara,East Gojam,30608,Debre Elias,436d9b03-2df6-44a3-bdbb-80c7c1d1f563,1202876119,189047.1871
164,Amhara,East Gojam,30613,Dejen,43757109-feac-4b92-8cc2-bf501f452ca3,654019237.6,130727.122
174,Amhara,East Gojam,30605,Enarj Enawga,43a2ce06-7bd0-4c7e-851c-1f8139b768fb,985137618.5,164569.3343
175,Amhara,East Gojam,30604,Enbise Sar Midir,a788d1e4-6416-40c7-8f81-efa5c269fe13,1119619702,150079.517
176,Amhara,East Gojam,30606,Enemay,88a86bd9-858b-4560-b50e-9cd0391e8ee9,755267416.7,171472.6052
184,Amhara,East Gojam,30603,Goncha Siso Enese,a7a732f8-7154-40ad-bef1-b3edd80049e5,1110501601,181444.687
186,Amhara,East Gojam,30618,Gonje,b918b799-af9f-4ab1-81a3-dc32f9e43f24,251699855.6,101075.5766
190,Amhara,East Gojam,30610,Guzamn,539cedba-dd94-4ab9-b882-7075dab9e3e2,1063951006,192492.1461
193,Amhara,East Gojam,30602,Hulet Ej Enese,8f794e10-c97f-4750-af1e-0a4e9d0c0976,1507924534,215572.5397
218,Amhara,East Gojam,30609,Michakel,69573024-a8dd-4071-9b77-2448bce60b75,693263099,210789.1417
230,Amhara,East Gojam,30616,Senan,5be1ea6f-d853-4e4e-8f78-d73165b2c121,807427638.4,183081.622
231,Amhara,East Gojam,30614,Shebel Bereta,43aac473-ffa8-46ba-b571-6bea2b4e7570,937050757.1,166620.469
251,Amhara,North Gonder,30101,Addi Arekay,5f2f75e2-9468-43be-a10d-215f56e84053,1398176288,272532.6934
134,Amhara,North Gonder,30115,Alfa,ece056ba-aba0-4dae-955f-2ae9b914b1fa,1988677756,270489.5933
149,Amhara,North Gonder,30102,Beyeda,c0f6502e-55fb-4c17-90fc-eaf0259505d9,1267642628,219350.5273
154,Amhara,North Gonder,30112,Chilga,48c3f7d2-ce7a-49c6-b2f7-b18376ec045e,3396760839,356835.5058
155,Amhara,North Gonder,30105,Dabat,bb30e18c-7ec6-4b71-a40f-cede167fadc2,1286207806,235117.1061
158,Amhara,North Gonder,30104,Debark,9a147851-aded-42e7-ad4c-cff655d88de4,1656635903,344294.0202
167,Amhara,North Gonder,30111,Dembia,3e76ecad-4a39-4ca2-850e-151ffb34a5ea,1372648250,220240.8386
171,Amhara,North Gonder,30117,East Belesa,38bf010a-0bd0-44b3-bb5e-f481433b5f28,2007627257,241577.0955
185,Amhara,North Gonder,30110,Gonder Zuria,730e8112-f675-433c-8bf9-fc55f6a060f0,1506185329,268588.9492
196,Amhara,North Gonder,30103,Janamora,fa00f72d-dd9a-43eb-a4f7-3e836a62f832,1903988499,272082.2526
205,Amhara,North Gonder,30108,Lay Armacho,6f9aca7e-3c13-42b9-a7c5-1319c8af2cb0,1104716300,210637.3091
217,Amhara,North Gonder,30113,Metema,c6d75573-c1f2-4a07-bb2d-b31bd61456b0,4004084153,457062.658
221,Amhara,North Gonder,30106,Mirab Armacho,13ec0bca-7374-432d-817d-30ec5962eeb5,2795235712,338646.7293
224,Amhara,North Gonder,30114,Quara,678f8a5a-c664-4feb-861b-34efb2f4adea,8941362553,501434.4073
234,Amhara,North Gonder,30120,Tach Armacho,4fe84d0a-1bff-435a-84e2-e4cc2e238eb7,2774970852,321781.5499
236,Amhara,North Gonder,30121,Takusa,1957a730-0a37-4a98-a4db-3d6ab5f809c4,1985752062,263336.5775
