OBJECTID,REGIONNAME,ZONENAME,WOREDANO_,WOREDANAME,GlobalID,Shape__Area,Shape__Length
132,Amhara,West Gojam,30713,Debub Achefer,ba79b54b-a762-4112-9f0d-60c9c7e708e0,1256251826,235073.844
133,Amhara,South Wollo,30408,Albuko,5a38ad41-1aeb-4acf-8a8f-b2111e7afd3b,485209240.5,134712.8828
134,Amhara,North Gonder,30115,Alfa,ece056ba-aba0-4dae-955f-2ae9b914b1fa,1988677756,270489.5933
135,Amhara,South Wollo,30404,Ambasel,84f9137d-eaa8-47f0-9b05-c233ddd24aa4,946007661.4,170715.7247
136,Amhara,East Gojam,30617,Aneded,df916f1d-7d2f-4b51-86b9-bf17ca57d27c,673662685.3,187996.6346
137,Amhara,North Shewa(R3),30513,Angolelana Tera,cb748447-d051-4b50-b972-4235ac7716c5,863370332.1,219319.0955
138,Amhara,Awi/Agew,30903,Ankasha,b7431940-3c7e-4924-8913-b78cc8043860,1103789526,195309.088
139,Amhara,North Shewa(R3),30515,Ankober,6093ff32-c3a9-4703-94d2-f8a1c05a7445,728892869.5,135484.0106
140,Amhara,North Shewa(R3),30507,Antsokiya,0b475a28-4b47-4669-8aac-bb452046924d,395486010.8,120580.5186
141,Amhara,Special Woreda,31201,Argoba,cd3d5aca-88e7-4016-bcac-b065c154d433,322953002.2,109324.324
142,Amhara,North Shewa(R3),30514,Assagirt,3a993ddd-40cd-4fd0-b8b8-e4aff0462055,533813289.9,134449.2869
143,Amhara,East Gojam,30612,Awabel,5dbc23c4-26e8-4a67-8e4e-9a5ae0931fe4,854392916.9,193676.3423
144,Amhara,West Gojam,30702,Bahirdar Zuria,2ed8e5fd-1a17-4253-ad1f-90a5a7a0a836,1612755929,361195.4802
145,Amhara,Awi/Agew,30902,Banja,9370f8f2-c5d1-4d5e-b9ff-51c914559614,513736062.8,183596.268
146,Amhara,East Gojam,30611,Baso Liben,a1234705-e102-42b5-a196-e3d1d13d32a4,1154684957,162946.375
147,Amhara,Oromia,31002,Bati,ba862cdb-410f-44fd-97b4-05cb0e8d8815,1194865708,185697.6665
148,Amhara,North Shewa(R3),30517,Berehet,79dba8b8-c627-42a1-9c28-b99c5c5a1bf4,801593518.2,141777.1582
149,Amhara,North Gonder,30102,Beyeda,c0f6502e-55fb-4c17-90fc-eaf0259505d9,1267642628,219350.5273
150,Amhara,East Gojam,30601,Bibugn,172f0407-d688-4f6b-b5ae-421002bfc377,413594119.1,166574.9632
151,Amhara,North Wollo,30301,Bugna,e68904b2-a4b8-4d45-b058-a9bdf3302cac,1257184134,162688.8404
152,Amhara,West Gojam,30710,Bure,bb39ee50-dfdb-47e9-8e54-a43e95c5e16c,835640633.3,229175.3844
153,Amhara,Oromia,31001,Chefa Gula,d4e0ae27-44f6-47c3-a00e-58f0a0ee7f24,690794894.9,178158.4481
154,Amhara,North Gonder,30112,Chilga,48c3f7d2-ce7a-49c6-b2f7-b18376ec045e,3396760839,356835.5058
155,Amhara,North Gonder,30105,Dabat,bb30e18c-7ec6-4b71-a40f-cede167fadc2,1286207806,235117.1061
156,Amhara,Awi/Agew,30901,Dangila,41d9eeb4-2b92-488b-b91f-b5033a69cf58,926228013.2,188880.8001
157,Amhara,North Wollo,30311,Dawunt,2c96e7e4-4dca-44d5-bf77-a4a409c7a615,648303273,127974.7125
158,Amhara,North Gonder,30104,Debark,9a147851-aded-42e7-ad4c-cff655d88de4,1656635903,344294.0202
159,Amhara,East Gojam,30607,Debay Telatgen,71f9134e-0764-45f7-a203-09c4849c8eab,654622212.1,142650.4018
160,Amhara,East Gojam,30608,Debre Elias,436d9b03-2df6-44a3-bdbb-80c7c1d1f563,1202876119,189047.1871
161,Amhara,South Wollo,30412,Debresina,ee99d263-6161-49e5-a583-c74fa11d4e39,1031391002,152969.8706
162,Amhara,West Gojam,30707,Dega Damot,a98a1f78-bd65-4128-a5bc-7395f93b0193,859422493.3,181922.0493
163,Amhara,Wag Himra,30803,Dehana,0c64b8f0-aa68-4307-b08d-dd81d83647ad,1782278292,195437.5826
164,Amhara,East Gojam,30613,Dejen,43757109-feac-4b92-8cc2-bf501f452ca3,654019237.6,130727.122
165,Amhara,North Wollo,30306,Delanta,6cb0848c-75f3-4727-bcb5-19f330ff0e1d,1107057549,185504.487
166,Amhara,West Gojam,30708,Dembecha,a7061498-81d4-49a5-b210-d10a377f57e0,1002842622,202343.0715
167,Amhara,North Gonder,30111,Dembia,3e76ecad-4a39-4ca2-850e-151ffb34a5ea,1372648250,220240.8386
168,Amhara,South Gonder,30209,Dera,475cd5af-6a33-426c-92fd-38463f80df47,1645107119,277886.5848
169,Amhara,South Wollo,30409,Dessie Zuria,2b481059-90a6-4081-9dd4-986765fb83eb,1269581116,279183.2201
170,Amhara,South Gonder,30208,East Esite,ccd8e6f2-c016-4b25-b277-f78ff509997d,1326513753,289771.3817
171,Amhara,North Gonder,30117,East Belesa,38bf010a-0bd0-44b3-bb5e-f481433b5f28,2007627257,241577.0955
172,Amhara,South Gonder,30201,Ebenat,6854bbe1-e212-4dc3-afcb-c56bc4fbb9c6,2645703797,263113.9148
173,Amhara,North Shewa(R3),30508,Eferatana Gidem,0b353c5c-1812-4be7-898d-061ab8b4a386,527314258,154759.9029
174,Amhara,East Gojam,30605,Enarj Enawga,43a2ce06-7bd0-4c7e-851c-1f8139b768fb,985137618.5,164569.3343
175,Amhara,East Gojam,30604,Enbise Sar Midir,a788d1e4-6416-40c7-8f81-efa5c269fe13,1119619702,150079.517
176,Amhara,East Gojam,30606,Enemay,88a86bd9-858b-4560-b50e-9cd0391e8ee9,755267416.7,171472.6052
177,Amhara,Awi/Agew,30905,Fagta Lakoma,6e3d2c5e-7761-4511-98b0-bf1402cf43b4,704550341,169477.1546
178,Amhara,South Gonder,30204,Farta,c2f1a941-acc7-4a29-bd60-61f18ef4ff7e,1274590427,180081.2171
179,Amhara,South Gonder,30203,Fogera,3bbca180-0cfb-4915-8720-cc8fcd61e0b6,1154208603,209282.7796
180,Amhara,Wag Himra,30804,Gaz Gibla,d4ebb711-7f5f-450a-a467-f1957e02d953,1003252895,167943.2226
181,Amhara,North Shewa(R3),30505,Menz Gera Midir,acb175d4-ef70-4913-a24b-b412bd7f5a8a,1139918317,191884.8811
182,Amhara,North Wollo,30303,Gidan,f024c4bb-08a8-4d98-a51d-c01f8b6b56d6,1294396436,199928.0214
183,Amhara,North Shewa(R3),30506,Gishe Rabel,5c25d2e5-03d4-4020-8698-c3c0aa90f757,700569465.6,135505.1995
184,Amhara,East Gojam,30603,Goncha Siso Enese,a7a732f8-7154-40ad-bef1-b3edd80049e5,1110501601,181444.687
185,Amhara,North Gonder,30110,Gonder Zuria,730e8112-f675-433c-8bf9-fc55f6a060f0,1506185329,268588.9492
186,Amhara,East Gojam,30618,Gonje,b918b799-af9f-4ab1-81a3-dc32f9e43f24,251699855.6,101075.5766
187,Amhara,Awi/Agew,30907,Guagusa Shikudad,bc03a9ad-eac0-4f76-b4bb-abc95bde3b0c,316812138,120770.9967
188,Amhara,Awi/Agew,30904,Guangua,c333faf2-c28a-4143-b21c-98340ccd7a50,2430916141,279760.1541
189,Amhara,North Wollo,30307,Guba Lafto,c2230863-90c1-48b2-91a3-8641e5cb1b61,1059975256,252823.1996
190,Amhara,East Gojam,30610,Guzamn,539cedba-dd94-4ab9-b882-7075dab9e3e2,1063951006,192492.1461
191,Amhara,North Wollo,30308,Habru,8f1d8b30-9ff3-4689-aa47-0b3049fe854f,1417883816,201444.1268
192,Amhara,North Shewa(R3),30516,Hagere Mariam,54ab4288-0799-4173-ba88-5d58ecddedd5,711012585.6,140006.0365
