OBJECTID,REGIONNAME,ZONENAME,WOREDANO_,WOREDANAME,GlobalID,Shape__Area,Shape__Length
549,SNNPR,Sheka,70803,Yeki,42aea9fe-35d6-4334-9ec4-7eb50ebb599b,528061404.6,131393.2887
550,SNNPR,Keffa,70905,Menjiwo,2486f59c-218e-4095-9751-351da319d7ef,1024673374,141105.942
551,SNNPR,KAT,70304,Kacha Bira,20d34439-2d55-402f-b0fc-acaade02dc49,230040864.5,66327.1808
552,SNNPR,KAT,70301,Tembaro,f281a557-3cc9-4885-89cf-3e81d99e1304,332055584.9,78113.47052
553,SNNPR,Keffa,70908,Decha,5d6d8bd2-7da8-45a8-a48c-741539ac5624,2969421027,336069.7646
554,SNNPR,Bench Maji,71106,Menit Shasha,a19a394d-fb36-495c-b612-4d04dbf7e028,2999484195,312780.5376
555,SNNPR,Konta,71901,Ela (Konta) SP Woreda,a5bd79a8-fc47-4880-8c0f-13d7d3ec7927,2401405056,279737.2345
556,SNNPR,Keffa,70907,Cheta,c8f67e00-fd71-4f9b-aa2d-9a2ec31c5c8b,676571727.5,111978.533
557,SNNPR,Dawro,71703,Loma Bosa,f2ab8a27-e308-4b9d-92e2-e39c562abce5,1206656477,182583.0288
558,SNNPR,Gamo Gofa,71004,Boreda,307ab858-e99f-4839-b0ea-30022bf7fcc2,450913920.6,94079.25609
559,SNNPR,Gurage,70105,Sodo,cb4bf368-a73d-4793-8c2a-47f70c4a6cd7,853981427.6,179901.7259
560,SNNPR,Gurage,70102,Abeshege,71917bac-15d9-47e4-aee2-9949f7c3dd62,561892317.2,108983.7723
561,SNNPR,Gurage,70104,Kokir Gedbano,1f54bdfc-95db-4ca0-b5aa-2a515e7c960c,614527895.5,115570.3228
562,SNNPR,Gurage,70106,Meskan,994a6121-7c2a-43eb-bd01-cdb364d34305,555800449.9,159509.1465
563,SNNPR,Gurage,70110,Cheha,a9203a32-2c84-4503-903e-8d5c5221172f,593350102.9,134083.5219
564,SNNPR,South Omo,70702,South Ari (Bako Gazer),b7eab23d-4d4d-4421-95fc-569106194fa9,2133048975,251858.7751
