Woreda,Latitude,Longitude,Shape_Length,Shape_Area,Region,
Adami Tullu JK,7.748878,38.666908,1282683161,201985.3649,Oromia,
Adwa,14.047452,39.092626,712649728.8,154334.8329,Tigray,
Ahferom,14.220596,39.25224,1393936681,241544.1366,Tigray,
Alle,4.364501,40.202875,1065195947,183068.4759,SNNP,
Ankesha,11.001798,36.660622,1103789526,195309.088,Amhara,
Ankober,9.596402,39.736057,728892869.5,135484.0106,Amhara,
Arbaminch Zuria,6.044794,37.55887,1649674266,191658.4277,SNNP,
Awabel,10.499742,37.749716,854392916.9,193676.3423,Amhara,
Ayehu Guagusa,10.834516,37.017681,1.218054584,0.044456187,Amhara,
Bibgun,12.179117,38.694391,413594119.1,166574.9632,Amhara,
Boset,8.630055,39.526412,1405353801,200929.495,Oromia,
Botor Tolay,8.293306,37.363361,1.56949,0.050709,Oromia,
Chora,8.328658,36.25146,1592122632,179873.7283,Oromia,
Dabo Hana,8.717362,36.265869,939851791.6,183427.2954,Oromia,
Dangela,11.257476,36.841204,926228013.2,188880.8001,Amhara,
Daramalo,6.295539,37.318573,367797070.1,78950.39915,SNNP,
Debay Telatgen,11.32824,37.691902,654622212.1,142650.4018,Amhara,
Debub Bench,6.716425,35.143032,734385002.9,116373.1738,SNNP,
Dega,8.593568,36.1147,482093174.6,95567.13569,Oromia,
Degua Temben,13.675422,38.899797,1101693896,200207.4541,Tigray,
Didu,8.018648,35.450663,999459982.5,147156.397,Oromia,
Diga,9.051766,35.717145,699289934,181982.0866,Oromia,
Ebinat,12.122651,38.049951,2645703797,263113.9148,Amhara,
Efratana Gidim,9.50133,39.670048,527314258,154759.9029,Amhara,
Gazgibla,12.386216,39.040663,1003252895,167943.2226,Amhara,
Gerese /bonke/,5.917589,37.305842,1.492022,0.054391,SNNP,
Gesha,6.582238,35.467038,689954109.3,142227.5409,SNNP,
Gimbo,7.342819,36.218748,810251171.5,142480.9161,SNNP,
Gombora,7.560365,37.595919,1.020674,0.037911,SNNP,
Guagsa Shekudad,10.826923,37.029224,316812138,120770.9967,Amhara,
Guangua,10.996573,36.334435,2430916141,279760.1541,Amhara,
Hawzein,13.981001,39.429547,909231686.4,198419.3414,Tigray,
Hurumu,8.226994,35.805287,678394986.9,126764.6833,Oromia,
Kindo koysha,6.833989,37.499054,562104568.7,110462.0991,SNNP,
Lasta,12.047736,39.029337,1132474126,202082.445,Amhara,
Leka Dulecha,8.915325,36.478574,2.042134,0.078628,Oromia,
Limu Kosa,8.166036,37.170001,1399107462,189348.4092,Oromia,
Limu Seka,8.481861,36.94259,2559825745,252025.728,Oromia,
Medebay Zana,12.296478,36.383978,1128943214,279174.6343,Tigray,
Meket,12.000476,38.753273,1994559542,263308.3583,Amhara,
Meketewa,12.176469,38.345038,1.304612026,0.061883205,Amhara,
Meskan,8.134339,38.377986,1.286387,0.027163,SNNPR,Gurage
Mirab Abaya,6.347544,37.764525,821337816,135723.6627,SNNP,
Saharti Samre,13.24152,39.193818,1824655467,269752.6465,Tigray,
Satema,8.061603,36.218736,1134451235,154256.9363,Oromia,
Sede/hulet eju enese/,10.949956,37.883586,1.008353,0.048248,,
Sekela,10.915429,37.531019,799930531.2,201639.6263,Amhara,
Sekota,12.627942,39.037401,2.574325,0.103975,Amhara,
Sheka,7.043715,35.433505,1.278985809,0.040039002,,
Shewa Robit /kewet/,9.99279,39.896771,0.166186,0.000819,,
Shishonde /chena/ ,,,1.288557218,0.045557912,,
Sigmo,7.862025,36.044084,1044702341,145313.0022,Oromia,
Soro,7.496971,37.595058,771082665.6,136469.5237,SNNP,
Tahtay Koraro,13.867829,39.247938,716471062.4,191546.6901,Tigray,
Tahtay Maychew,12.786531,39.544596,609710752.7,211319.3729,Tigray,
Wenago,6.317519,38.259659,126404029.8,49942.52366,SNNP,
Werei Leke,14.000305,39.167851,1345389415,246033.9424,Tigray,
West Denbia /dembia/,12.415988,37.252014,1.776365,0.064718,Amhara,
Yayu,8.397699,35.803392,593167149.1,112066.9546,Oromia,
Yirgachefe,6.154747,38.210455,330241472.7,108171.8825,SNNP,
